model_family,model,split,operating_point,rows,bad_rate,threshold,roc_auc,pr_auc,brier_score,precision,recall,f1,tn,fp,fn,tp,model_label
lightgbm,lightgbm_06,test,best_validation_f1,195749,0.210315,0.459101,0.711342,0.380512,0.211718,0.31627,0.718235,0.439159,90656,63924,11600,29569,LightGBM
xgboost,xgboost_05,test,best_validation_f1,195749,0.210315,0.470698,0.710193,0.37959,0.212441,0.318981,0.701061,0.438462,92960,61620,12307,28862,XGBoost
hist_gradient_boosting,hist_gradient_boosting_04,test,best_validation_f1,195749,0.210315,0.472937,0.708493,0.377185,0.212358,0.319695,0.693143,0.437571,93856,60724,12633,28536,HistGradientBoosting
catboost,catboost_04,test,best_validation_f1,195749,0.210315,0.479729,0.705725,0.373955,0.216384,0.31732,0.696641,0.436029,92878,61702,12489,28680,CatBoost
random_forest,random_forest_03,test,best_validation_f1,195749,0.210315,0.455266,0.703753,0.371073,0.200271,0.321114,0.673832,0.434952,95931,58649,13428,27741,Random Forest
logistic_regression,logistic_regression_07,test,best_validation_f1,195749,0.210315,0.471801,0.700061,0.361509,0.225017,0.310541,0.70932,0.431966,89746,64834,11967,29202,Logistic Regression
lightgbm,lightgbm_06,validation,best_validation_f1,186920,0.246763,0.459101,0.702851,0.42477,0.217414,0.35411,0.723382,0.475468,79936,60859,12759,33366,LightGBM
hist_gradient_boosting,hist_gradient_boosting_04,validation,best_validation_f1,186920,0.246763,0.472937,0.700829,0.4235,0.217717,0.359479,0.696715,0.474259,83535,57260,13989,32136,HistGradientBoosting
xgboost,xgboost_05,validation,best_validation_f1,186920,0.246763,0.470698,0.701999,0.4254,0.217751,0.357988,0.700748,0.473884,82829,57966,13803,32322,XGBoost
catboost,catboost_04,validation,best_validation_f1,186920,0.246763,0.479729,0.698653,0.420953,0.219899,0.359174,0.689279,0.47226,84071,56724,14332,31793,CatBoost
logistic_regression,logistic_regression_07,validation,best_validation_f1,186920,0.246763,0.471801,0.695407,0.412336,0.224051,0.355082,0.697669,0.470633,82348,58447,13945,32180,Logistic Regression
random_forest,random_forest_03,validation,best_validation_f1,186920,0.246763,0.455266,0.694572,0.415081,0.207616,0.359521,0.671762,0.468373,85596,55199,15140,30985,Random Forest
lightgbm,lightgbm_06,test,target_validation_precision,195749,0.210315,0.547699,0.711342,0.380512,0.211718,0.359584,0.551434,0.435309,114148,40432,18467,22702,LightGBM
xgboost,xgboost_05,test,target_validation_precision,195749,0.210315,0.546067,0.710193,0.37959,0.212441,0.35646,0.553353,0.433602,113452,41128,18388,22781,XGBoost
hist_gradient_boosting,hist_gradient_boosting_04,test,target_validation_precision,195749,0.210315,0.550043,0.708493,0.377185,0.212358,0.357576,0.543856,0.431469,114354,40226,18779,22390,HistGradientBoosting
catboost,catboost_04,test,target_validation_precision,195749,0.210315,0.5552,0.705725,0.373955,0.216384,0.354765,0.541208,0.428588,114056,40524,18888,22281,CatBoost
random_forest,random_forest_03,test,target_validation_precision,195749,0.210315,0.523016,0.703753,0.371073,0.200271,0.359378,0.520076,0.425045,116413,38167,19758,21411,Random Forest
logistic_regression,logistic_regression_07,test,target_validation_precision,195749,0.210315,0.563511,0.700061,0.361509,0.225017,0.348254,0.538026,0.422823,113127,41453,19019,22150,Logistic Regression
xgboost,xgboost_05,validation,target_validation_precision,186920,0.246763,0.546067,0.701999,0.4254,0.217751,0.400003,0.546667,0.461974,102973,37822,20910,25215,XGBoost
lightgbm,lightgbm_06,validation,target_validation_precision,186920,0.246763,0.547699,0.702851,0.42477,0.217414,0.4,0.546038,0.461747,103016,37779,20939,25186,LightGBM
hist_gradient_boosting,hist_gradient_boosting_04,validation,target_validation_precision,186920,0.246763,0.550043,0.700829,0.4235,0.217717,0.400006,0.53832,0.458969,103551,37244,21295,24830,HistGradientBoosting
catboost,catboost_04,validation,target_validation_precision,186920,0.246763,0.5552,0.698653,0.420953,0.219899,0.400003,0.524726,0.453954,104491,36304,21922,24203,CatBoost
logistic_regression,logistic_regression_07,validation,target_validation_precision,186920,0.246763,0.563511,0.695407,0.412336,0.224051,0.400007,0.508488,0.447771,105615,35180,22671,23454,Logistic Regression
random_forest,random_forest_03,validation,target_validation_precision,186920,0.246763,0.523016,0.694572,0.415081,0.207616,0.40001,0.507902,0.447546,105656,35139,22698,23427,Random Forest
